ORF,Name,Allele,Strain ID,Plate,Row,Column
YMR271C,URA10,,DMA3865,2,16,11
YMR271C,URA10,,DMA3865,2,16,12
YMR271C,URA10,,DMA3865,2,16,13
YMR271C,URA10,,DMA3865,2,16,14
YMR271C,URA10,,DMA3865,2,16,15
YMR271C,URA10,,DMA3865,2,16,16
YMR271C,URA10,,DMA3865,2,16,17
YMR271C,URA10,,DMA3865,2,16,18
YMR271C,URA10,,DMA3865,2,16,19
YMR271C,URA10,,DMA3865,2,16,20
YMR271C,URA10,,DMA3865,2,16,21
YMR271C,URA10,,DMA3865,2,16,22
YMR271C,URA10,,DMA3865,2,16,23
YMR271C,URA10,,DMA3865,2,16,24
YMR271C,URA10,,DMA3865,3,1,1
YMR271C,URA10,,DMA3865,3,1,2
YMR271C,URA10,,DMA3865,3,1,3
YMR271C,URA10,,DMA3865,3,1,4
YMR271C,URA10,,DMA3865,3,1,5
YMR271C,URA10,,DMA3865,3,1,6
YMR271C,URA10,,DMA3865,3,1,7
YMR271C,URA10,,DMA3865,3,1,8
YMR271C,URA10,,DMA3865,3,1,9
YMR271C,URA10,,DMA3865,3,1,10
YMR271C,URA10,,DMA3865,3,1,11
YMR271C,URA10,,DMA3865,3,1,12
YMR271C,URA10,,DMA3865,3,1,13
YMR271C,URA10,,DMA3865,3,1,14
YMR271C,URA10,,DMA3865,3,1,15
YMR271C,URA10,,DMA3865,3,1,16
YMR271C,URA10,,DMA3865,3,1,17
YMR271C,URA10,,DMA3865,3,1,18
YMR271C,URA10,,DMA3865,3,1,19
YMR271C,URA10,,DMA3865,3,1,20
YMR271C,URA10,,DMA3865,3,1,21
YMR271C,URA10,,DMA3865,3,1,22
YMR271C,URA10,,DMA3865,3,1,23
YMR271C,URA10,,DMA3865,3,1,24
YMR271C,URA10,,DMA3865,3,2,1
YBL040C,ERD2,erd2-5001,TSA1072,3,2,2
YLR298C,YHC1,yhc1-3,TSA840,3,2,3
YGL065C,ALG2,alg2-1,TSA461,3,2,4
YDR310C,SUM1,,DMA1063,3,2,5
YER168C,CCA1,cca1-5001,TSA1114,3,2,6
YML128C,MSC1,,DMA3618,3,2,7
YER023W,PRO3,pro3-5001,TSA1082,3,2,8
YLR008C,PAM18,pam18-1,TSA501,3,2,9
YGR113W,DAM1,dam1-9,TSA243,3,2,10
YDR437W,GPI19,gpi19-5001,TSA1179,3,2,11
YKL210W,UBA1,uba1-1,TSA191,3,2,12
YDL207W,GLE1,gle1-4,TSA920,3,2,13
YDL017W,CDC7,cdc7-1,TSA880,3,2,14
YGR047C,TFC4,tfc4-5001,TSA1240,3,2,15
YBR196C,PGI1,pgi1-2,TSA91,3,2,16
YPL255W,BBP1,bbp1-2,TSA864,3,2,17
YJR076C,CDC11,cdc11-5,TSA84,3,2,18
YNL163C,RIA1,ria1-ts,TSA1055,3,2,19
YIL004C,BET1,bet1-1,TSA792,3,2,20
YIL008W,URM1,,DMA2255,3,2,21
YKL018W,SWD2,swd2-ts1,TSA173,3,2,22
YMR134W,ERG29,erg29-5001,TSA1209,3,2,23
YMR271C,URA10,,DMA3865,3,2,24
YMR271C,URA10,,DMA3865,3,3,1
YDR208W,MSS4,mss4-103,TSA129,3,3,2
YMR235C,RNA1,rna1-s116f,TSA172,3,3,3
YJL047C,RTT101,,DMA2463,3,3,4
YJR139C,HOM6,,DMA2730,3,3,5
YER003C,PMI40,pmi40-5001,TSA1081,3,3,6
YBR164C,ARL1,,DMA318,3,3,7
YJL011C,RPC17,rpc17-5001,TSA1270,3,3,8
YPR018W,RLF2,,DMA5036,3,3,9
YPR088C,SRP54,srp54-5001,TSA1233,3,3,10
YLR298C,YHC1,yhc1-7,TSA647,3,3,11
YGL155W,CDC43,cdc43-2,TSA333,3,3,12
YMR224C,MRE11,,DMA3806,3,3,13
YMR263W,SAP30,,DMA3870,3,3,14
YLR105C,SEN2,sen2-1,TSA676,3,3,15
YER161C,SPT2,,DMA1464,3,3,16
YPR103W,PRE2,pre2-1-supp1,TSA915,3,3,17
