ORF,Name,Allele,Strain ID,Cluster_normal-2
YLR310C,CDC25,cdc25-1,tsa23,0.11304347826086956
YGL048C,RPT6,rpt6-20,tsa907-37C,0.11285266457680251
YPR103W,PRE2,pre2-v214a,tsa921,0.11271676300578035
YLR078C,BOS1,bos1-1,tsa199-37C,0.1125
YFL034C-B,MOB2,mob2-36,tsa814-37C,0.11224489795918367
YAL038W,CDC19,cdc19-1,tsa34-37C,0.112
YGR274C,TAF1,taf1-1,tsa524-37C,0.11176470588235295
YHR129C,ARP1,,dma2165,0.1111111111111111
YOR020C,HSP10,hsp10-ts,tsa681-37C,0.11063829787234042
YHR170W,NMD3,nmd3-4,tsa605-37C,0.11046511627906977
YGL234W,"ADE5,7","ade5,7",tsa39-37C,0.11038961038961038
YIR012W,SQT1,sqt1-201,tsa617-37C,0.11029411764705882
YAL041W,CDC24,cdc24-2,tsa410-37C,0.11016949152542373
YNR026C,SEC12,sec12-1,tsa305-37C,0.11016949152542373
YOR075W,UFE1,ufe1-1,tsa212-37C,0.10961214165261383
YOR122C,PFY1,pfy1-4,tsa232-37C,0.10951008645533142
YIL004C,BET1,bet1-1,tsa792-37C,0.10925925925925926
YOR181W,LAS17,las17-1,tsa912-37C,0.1091703056768559
YNR011C,PRP2,prp2-1,tsa338-37C,0.10915104740904079
YJL085W,EXO70,exo70-38,tsa848-37C,0.10888888888888888
YBR109C,CMD1,cmd1-8,tsa157-37C,0.10860366713681241
YDR356W,SPC110,spc110-221,tsa276-37C,0.10857142857142857
YKL052C,ASK1,ask1-3,tsa1002-37C,0.10839913854989232
YDR167W,TAF10,taf10-ts34,tsa957-37C,0.10835214446952596
YBR079C,RPG1,rpg1-1,tsa990-37C,0.10829817158931083
YDR303C,RSC3,rsc3-1,tsa503,0.10810810810810811
YAL041W,CDC24,cdc24-3,tsa412,0.10752688172043011
YOR335C,ALA1,ala1-1,tsa905-37C,0.10748560460652591
YJR057W,CDC8,cdc8-1,tsa407-37C,0.10743801652892562
YGR113W,DAM1,dam1-19,tsa244-37C,0.10722100656455143
YHR191C,CTF8,ctf8-9,tsa323,0.10714285714285714
YPR178W,PRP4,prp4-1,tsa500,0.10697674418604651
YMR240C,CUS1,cus1-3,tsa639-37C,0.10655737704918032
YML015C,TAF11,taf11-ts2,tsa645-37C,0.10625
YNL262W,POL2,pol2-12,tsa20,0.10619469026548672
YDR373W,FRQ1,frq1-1,tsa399-37C,0.10518731988472622
YER022W,SRB4,srb4-2,tsa519,0.10434782608695652
YPL076W,GPI2,gpi2-1-7b,tsa462-37C,0.10416666666666667
YBR058C-A,TSC3,tsc3-2,tsa571-37C,0.10404624277456648
YDR182W,CDC1,cdc1-6,tsa414-37C,0.1039426523297491
YGL097W,SRM1,srm1-g282s,tsa261-37C,0.10362694300518134
YBR198C,TAF5,taf5-20,tsa513-37C,0.10357142857142858
YPR161C,SGV1,sgv1-80,tsa1028-37C,0.10346611484738748
YHR202W,,,dma2244,0.10335917312661498
YFR028C,CDC14,cdc14-8,tsa926-37C,0.10283687943262411
YPL266W,DIM1,dim1-2,tsa96-37C,0.10245901639344263
YDL103C,QRI1,qri1-ts6,tsa860-37C,0.10233393177737882
YBR110W,ALG1,alg1-1,tsa177-37C,0.10186757215619695
YLR071C,RGR1,rgr1-100,tsa908,0.1015625
YLR268W,SEC22,sec22-3,tsa121-37C,0.10126582278481013
YJL074C,SMC3,smc3-42,tsa71-37C,0.10126582278481013
YOR244W,ESA1,esa1-1851,tsa565,0.10091743119266056
YMR168C,CEP3,cep3-2,tsa845,0.1
