ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YLR005W,SSL1,ssl1-t242i,tsa752-37C,241,42.20210402783017,42.32365145228216,91.07097761900407
YDL008W,APC11,apc11-22,tsa719-26C,119,42.15261862320686,42.016806722689076,93.63167797818281
YOL135C,MED7,med7-163,tsa739-37C,406,42.06100412996965,42.118226600985224,89.2127075754557
YDR164C,SEC1,sec1-1,tsa36-37C,810,42.00897867564534,41.97530864197531,91.48538667580712
YOR020C,HSP10,hsp10-ts,tsa681-37C,271,41.809236274180925,41.69741697416974,90.15931402977229
YMR224C,MRE11,,dma3806,40,41.76767676767676,42.5,84.22447732559301
YBR135W,CKS1,cks1-38,tsa332-26C,168,41.72077922077923,41.666666666666664,86.32438000638298
YFL039C,ACT1,act1-124,tsa72-37C,47,41.7150225660864,42.5531914893617,92.8497935221863
YDR189W,SLY1,sly1-ts,tsa251-37C,344,41.63730326521025,41.56976744186046,91.0426357457637
YHR166C,CDC23,cdc23-1,tsa86-37C,446,41.561353444761515,41.47982062780269,90.62313968607137
YML069W,POB3,pob3-q308k,tsa847-37C,99,41.41414141414141,41.41414141414141,89.72540479522694
YDR182W,CDC1,cdc1-4,tsa807-26C,51,41.41414141414141,41.1764705882353,91.33162595752232
YNR043W,MVD1,mvd1-1296,tsa828-37C,385,41.18326118326118,41.298701298701296,89.43593010700269
YNL216W,RAP1,rap1-2,tsa559-37C,79,40.8387674210459,40.50632911392405,88.97482963082288
YOR202W,HIS3,his3,tsa985-26C,67,40.76586763153928,40.298507462686565,85.05050969952164
YML130C,ERO1,ero1-1,tsa203-37C,583,40.67085953878406,40.65180102915952,91.08399792401835
YKL055C,OAR1,,dma2776,73,40.63926940639269,41.0958904109589,92.46384745774003
YFL034C-B,MOB2,mob2-26-supp1,tsa787-26C,68,40.55258467023173,41.1764705882353,89.1021258221717
YOR181W,LAS17,las17-1,tsa912-37C,118,40.3954802259887,40.67796610169491,90.03686260307994
YHR036W,BRL1,brl1-2221,tsa1038-26C,123,40.35476718403548,40.65040650406504,92.50581523157672
YDL132W,CDC53,cdc53-1,tsa975-26C,76,40.35087719298245,40.78947368421053,84.63125587806212
YIL126W,STH1,sth1-3,tsa931-37C,47,40.232108317214696,40.42553191489362,85.89047077183763
YKL048C,ELM1,,dma2781,102,40.19607843137255,40.19607843137255,86.13270900466127
YML069W,POB3,pob3-7,tsa629-37C,237,40.07160209691855,40.08438818565401,91.47763505235676
YML023C,NSE5,nse5-ts4,tsa1007-37C,193,39.84926990108338,39.89637305699482,91.48478108022506
YNL163C,RIA1,ria1-ts,tsa1055-37C,575,39.7979797979798,39.82608695652174,91.77734430591782
YJR093C,FIP1,fip1-433,tsa827-37C,252,39.682539682539684,39.682539682539684,91.33925646185627
YOL004W,SIN3,,dma4294,40,39.59595959595959,40.0,84.58619956675692
YDR460W,TFB3,tfb3-ts,tsa951-37C,16,39.457070707070706,37.5,82.58537232319183
YDL103C,QRI1,qri1-ts1,tsa859-37C,756,39.44203944203944,39.41798941798942,89.63747231671195
YOL135C,MED7,med7-141,tsa740-37C,375,39.426262626262634,39.46666666666667,89.55020599333724
YDR498C,SEC20,sec20-1,tsa55-37C,458,39.292488200785144,39.301310043668124,92.05058903254289
YBR160W,CDC28,cdc28-td,tsa62-37C,34,39.27510398098633,38.23529411764706,89.70372447338922
YDR159W,SAC3,,dma960,121,39.21028466483013,39.66942148760331,89.76840208155313
YGL044C,RNA15,rna15-58,tsa652-37C,570,39.175970228601805,39.12280701754386,91.34228443976656
YNL199C,GCR2,,dma4071,195,39.00543900543901,38.97435897435897,92.2586111149802
YPL190C,NAB3,nab3-11,tsa861-26C,12,38.88888888888889,41.666666666666664,79.56732618044205
YGL022W,STT3,stt3-2,tsa551-37C,145,38.760013932427725,38.62068965517241,90.0047054776726
YGR120C,COG2,cog2-1,tsa187-37C,355,38.73950775359226,38.87323943661972,90.59637236134435
YIL118W,RHO3,rho3-1,tsa654-37C,292,38.71938563719385,38.6986301369863,92.09019498360955
YDL147W,RPN5,rpn5-5001,tsa1080-37C,276,38.59244620114185,38.768115942028984,89.25049673977618
YKL045W,PRI2,pri2-1,tsa19-37C,417,38.492842089964384,38.60911270983213,87.03080725285493
YIL144W,NDC80,tid3-1,tsa246-26C,160,38.40277777777778,38.75,89.01825083405652
YOL123W,HRP1,hrp1-1,tsa960-37C,12,38.38383838383838,41.666666666666664,78.08180021765105
YGL105W,ARC1,,dma1660,13,38.3061383061383,38.46153846153846,84.21097254411309
YDR311W,TFB1,tfb1-1,tsa701-37C,204,38.29471182412359,38.23529411764706,90.93259902850357
YBL040C,ERD2,erd2-5001,tsa1072-26C,110,38.28282828282828,38.18181818181818,94.78866833770674
YBL034C,STU1,stu1-8,tsa454-37C,395,38.28154967395473,38.22784810126582,89.56262070276945
YLR195C,NMT1,nmt1-181,tsa690-37C,380,38.160552897395,38.1578947368421,90.59915810102183
YGR116W,SPT6,spt6-14,tsa834-26C,90,38.08080808080809,37.77777777777778,93.090578325613
YDL103C,QRI1,qri1-ts6,tsa860-37C,695,38.06264079645374,38.1294964028777,91.20602543380326
YFL018C,LPD1,lpd1-supp1,dma1482,31,38.05799934832193,38.70967741935484,84.85677967282093
YDL132W,CDC53,cdc53-1,tsa975-37C,244,38.0360986918364,38.114754098360656,89.87777264367301
YDL102W,POL3,cdc2-1,tsa406-37C,433,37.912613432243916,37.87528868360277,89.76143773235945
YGL022W,STT3,stt3-2,tsa551-26C,103,37.893498087672846,37.86407766990291,93.82074491890167
YDR170C,SEC7,sec7-1,tsa44-37C,723,37.746762228090034,37.75933609958506,90.45829656863488
YPL255W,BBP1,bbp1-2,tsa864-37C,145,37.47823058167886,37.241379310344826,88.12239328951648
YDL132W,CDC53,cdc53-1,tsa974-37C,317,37.45021189816142,37.53943217665615,89.81727364502531
YPR135W,CTF4,,dma5136,286,37.33488733488734,37.41258741258741,90.72336575490215
YPR074C,TKL1,,dma5065,284,37.331057049366905,37.32394366197183,90.5507710140153
YDL028C,MPS1,mps1-1,tsa166-37C,210,37.20057720057721,37.142857142857146,86.06149096421112
YBR193C,MED8,med8-51,tsa741-37C,639,36.91848058045241,36.93270735524256,90.80306213350113
YJR076C,CDC11,cdc11-4,tsa126-37C,74,36.89598689598689,36.486486486486484,86.27690131274954
YPR055W,SEC8,sec8-6,tsa364-37C,232,36.80337861372344,37.06896551724138,90.9482233945207
YLL050C,COF1,cof1-8,tsa248-37C,212,36.740041928721176,36.79245283018868,92.12398721708846
YMR112C,MED11,med11-ts,tsa799-26C,84,36.724386724386726,36.904761904761905,88.57301696212666
YLR066W,SPC3,spc3-4,tsa623-37C,559,36.717804159664624,36.67262969588551,90.94876843054455
YFL034C-B,MOB2,mob2-28,tsa936-37C,27,36.7003367003367,37.03703703703704,84.77526650747578
YPR103W,PRE2,pre2-2,tsa917-37C,42,36.65223665223666,38.095238095238095,90.62380584121162
YPR093C,ASR1,,dma5078,2406,36.63946195118265,36.65835411471322,93.17142533581789
YDL147W,RPN5,rpn5-1,tsa1036-37C,300,36.62626262626263,36.666666666666664,88.36983964434583
YDR052C,DBF4,dbf4-1,tsa161-37C,310,36.581948517432394,36.774193548387096,88.00817796274012
YJR065C,ARP3,arp3-d11a,tsa341-37C,69,36.49538866930172,36.231884057971016,89.52059236937454
YNL097C,PHO23,,dma4020,835,36.47129982459324,36.52694610778443,90.79185861523302
YPL169C,MEX67,mex67-ts5,tsa816-37C,433,36.46861221918959,36.48960739030023,89.90883969703265
YKL024C,URA6,ura6-6,tsa1034-37C,927,36.41267039325292,36.461704422869474,89.54626962205386
YGL136C,MRM2,,dma1690,183,36.36363636363637,36.612021857923494,87.13157835770957
YDR331W,GPI8,gpi8-ts,tsa371-37C,30,36.26262626262626,36.666666666666664,77.30318597779765
YFL005W,SEC4,sec4-8,tsa307-37C,783,36.22431208638105,36.27075351213282,88.67905674854521
YFL034C-B,MOB2,mob2-38,tsa788-37C,174,36.18948101706722,36.206896551724135,86.69022029750488
YFL034C-B,MOB2,mob2-20,tsa940-37C,201,36.04703753957486,36.318407960199,89.77027942785752
YML069W,POB3,pob3-q308k,tsa847-26C,30,35.959595959595966,36.666666666666664,84.90389500910513
YDL220C,CDC13,cdc13-1,tsa881-37C,202,35.813581358135814,35.64356435643565,89.81261055904345
YBR160W,CDC28,cdc28-1,tsa174-26C,95,35.800106326422124,35.78947368421053,90.83322079348767
YDR477W,SNF1,snf1-supp1,dma5262,283,35.77470821287076,35.68904593639576,89.60791925230747
YGL116W,CDC20,cdc20-2,tsa417-37C,877,35.684092924685864,35.689851767388824,90.66353291139471
YDL102W,POL3,cdc2-7,tsa17-37C,68,35.591206179441464,35.294117647058826,89.16492608403124
YJR017C,ESS1,ess1-h164r,tsa698-26C,57,35.4066985645933,35.08771929824562,88.99717610780085
YDL008W,APC11,apc11-13,tsa783-26C,90,35.35353535353536,35.55555555555556,89.6727179795878
YER069W,"ARG5,6","arg5,6",tsa798-37C,225,35.35353535353535,35.55555555555556,89.00619948197354
YBR200W,BEM1,,dma360,101,35.303530353035306,35.64356435643565,94.92068817459563
YLR212C,TUB4,tub4-d,tsa718-37C,467,35.24971340817166,35.33190578158458,89.78675162768953
YCR093W,CDC39,cdc39-1,tsa93-37C,475,35.211057947900045,35.1578947368421,89.58030409376558
YPL055C,LGE1,,dma4805,113,35.06748904978993,35.39823008849557,90.62647046177268
YDR052C,DBF4,dbf4-ts,tsa95-37C,259,35.01033501033501,35.13513513513514,90.24585363844854
YLR298C,YHC1,yhc1-2,tsa633-37C,406,34.86838831666418,34.97536945812808,88.11912307337336
YPL226W,NEW1,,dma4968,616,34.866522366522375,34.9025974025974,89.32571171106792
YNL198C,,,dma4072,313,34.83073546971311,34.82428115015974,87.70429009966287
YHR036W,BRL1,brl1-k405i,tsa1043-37C,314,34.79379785112269,34.71337579617835,92.84591771046112
YHR036W,BRL1,brl1-2221,tsa1038-37C,361,34.7435574582389,34.903047091412745,94.61740590710042
YER069W,"ARG5,6","arg5,6",tsa798-26C,104,34.69308469308469,34.61538461538461,92.95135190129761
YOR336W,KRE5,kre5-ts2,tsa139-37C,176,34.65909090909091,34.65909090909091,88.94152187380962
