ORF,Name,Allele,Strain ID,Cluster_normal-5
YDR424C,DYN2,,dma1174,0.17142857142857143
YNL138W,SRV2,srv2-ts,tsa675-37C,0.17142857142857143
YER038C,KRE29,kre29-ts2,tsa996-37C,0.17058823529411765
YGR292W,MAL12,,dma5298,0.17045454545454544
YBR211C,AME1,ame1-4,tsa716-37C,0.17045454545454544
YDL126C,CDC48,cdc48-4601,tsa851-37C,0.16981132075471697
YKL172W,EBP2,ebp2-1,tsa529-37C,0.16964285714285715
YNL106C,INP52,,dma4013,0.1694915254237288
YLR045C,STU2,stu2-12,tsa550-37C,0.16945107398568018
YDL097C,RPN6,rpn6-1,tsa1035-37C,0.16908212560386474
YLR184W,,,dma3264,0.16875
YOR301W,RAX1,,dma4703,0.16831683168316833
YBL097W,BRN1,brn1-9,tsa510-37C,0.16822429906542055
YJL084C,ALY2,,dma2487,0.168141592920354
YML098W,TAF13,taf13-2,tsa636-37C,0.168
YIL150C,MCM10,mcm10-43,tsa458-37C,0.16778523489932887
YDR394W,RPT3,rpt3-1,tsa785-37C,0.16770186335403728
YFL033C,RIM15,,dma5267,0.1673254281949934
YLR088W,GAA1,gaa1-ts,tsa207-37C,0.16666666666666666
YFL039C,ACT1,act1-133,tsa141-37C,0.16666666666666666
YNL324W,,,dma4183,0.16666666666666666
YLL043W,FPS1,,dma3052,0.16666666666666666
YGL028C,SCW11,,dma1616,0.16666666666666666
YDR088C,SLU7,slu7-ts1,tsa656-37C,0.16607773851590105
YBR029C,CDS1,cds1-5001,tsa1063-37C,0.1658291457286432
YMR308C,PSE1,pse1-41,tsa683-37C,0.1657754010695187
YBL105C,PKC1,pkc1-1,tsa537-37C,0.16566265060240964
YJR120W,,,dma2721,0.16483516483516483
YDR087C,RRP1,rrp1-1,tsa181-37C,0.16483516483516483
YFR027W,ECO1,eco1-1,tsa272-37C,0.16477272727272727
YAR014C,BUD14,,dma66,0.16417910447761194
YER125W,RSP5,rsp5-3,tsa465-37C,0.16408668730650156
YER117W,RPL23B,,dma1412,0.164
YPL124W,SPC29,spc29-3,tsa707-37C,0.16363636363636364
YNL013C,,,dma3929,0.16363636363636364
YER171W,RAD3,rad3-ts14,tsa588-37C,0.16363636363636364
YER018C,SPC25,spc25-1,tsa473-37C,0.16363636363636364
YCR044C,PER1,per1-supp1,dma575,0.16346153846153846
YBL034C,STU1,stu1-5,tsa274-37C,0.16304347826086957
YHR166C,CDC23,cdc23-1,tsa86-37C,0.16292134831460675
YPL232W,SSO1,,dma4964,0.16279069767441862
YDR016C,DAD1,dad1-5005,tsa1077-37C,0.16260162601626016
YBL016W,FUS3,,dma120,0.16216216216216217
YMR213W,CEF1,cef1-13,tsa702-37C,0.16203703703703703
YOR185C,GSP2,,dma4595,0.16176470588235295
YOR269W,PAC1,,dma4659,0.16129032258064516
YNL179C,,,dma4060,0.16129032258064516
YGL116W,CDC20,cdc20-2,tsa417-37C,0.1611842105263158
YLR007W,NSE1,nse1-16,tsa1044-37C,0.16022099447513813
YKL204W,EAP1,,dma2894,0.16
YCL016C,DCC1,,dma473,0.16
YKR029C,SET3,,dma2948,0.16
YBL035C,POL12,pol12-ts,tsa365-37C,0.15966386554621848
YBL034C,STU1,stu1-6,tsa643-37C,0.15954415954415954
YNL216W,RAP1,rap1-1,tsa558-37C,0.15942028985507245
YML099C,ARG81,,dma3595,0.15942028985507245
YAL034W-A,MTW1,mtw1-ts,tsa235-37C,0.1590909090909091
YPL226W,NEW1,,dma4968,0.15822784810126583
YGR264C,MES1,mes1-1,tsa35-37C,0.15822784810126583
YFR037C,RSC8,rsc8-ts16,tsa998-37C,0.15789473684210525
YNL238W,KEX2,,dma4111,0.15789473684210525
YDR052C,DBF4,dbf4-4,tsa164-37C,0.15767634854771784
YPR133C,SPN1,spn1-k192n,tsa1011-37C,0.15760869565217392
YDR361C,BCP1,bcp1-ts,tsa580-37C,0.15736040609137056
YLR430W,SEN1,sen1-1,tsa1024-37C,0.1569767441860465
YER023W,PRO3,pro3-5001,tsa1082-37C,0.1568627450980392
YNL006W,LST8,lst8-15,tsa467-37C,0.1568627450980392
YPL021W,ECM23,,dma4783,0.1568627450980392
YIL152W,,,dma2385,0.15671641791044777
YFL034C-B,MOB2,mob2-22,tsa610-37C,0.1566265060240964
YFR019W,FAB1,fab1-supp1,dma1552,0.15625
YGL203C,KEX1,,dma1738,0.1559633027522936
YER090W,TRP2,trp2,tsa366-37C,0.1559633027522936
YGR140W,CBF2,cbf2-42,tsa76-37C,0.15577889447236182
YLR298C,YHC1,yhc1-2,tsa633-37C,0.15555555555555556
YBL010C,,,dma88,0.15517241379310345
YJR093C,FIP1,fip1-433,tsa827-37C,0.15476190476190477
YDR303C,RSC3,rsc3-1,tsa503-37C,0.15471698113207547
YLR298C,YHC1,yhc1-7,tsa647-37C,0.15454545454545454
YOL018C,TLG2,,dma4304,0.15454545454545454
YDL030W,PRP9,prp9-ts,tsa361-37C,0.15384615384615385
YOL081W,IRA2,,dma4362,0.15384615384615385
YDL008W,APC11,apc11-13,tsa783-37C,0.15384615384615385
