ORF,Name,Allele,Strain ID,Cluster_normal-5
YDR228C,PCF11,pcf11-ts2,tsa686-37C,0.13131313131313133
YDR311W,TFB1,tfb1-1,tsa701-37C,0.12941176470588237
YOR122C,PFY1,pfy1-13,tsa233-37C,0.12857142857142856
YDL103C,QRI1,qri1-ts6,tsa860-37C,0.1282051282051282
YJL203W,PRP21,prp21-ts,tsa401-37C,0.1263537906137184
YDL105W,NSE4,nse4-ts4,tsa993-37C,0.12631578947368421
YDR145W,TAF12,taf12-w486stop,tsa515-37C,0.12612612612612611
YBR109C,CMD1,cmd1-8,tsa157-37C,0.12574850299401197
YKL024C,URA6,ura6-5,tsa1032-37C,0.125
YER008C,SEC3,sec3-2,tsa43-37C,0.12471910112359551
YDL103C,QRI1,qri1-ts1,tsa859-37C,0.12413793103448276
YPL252C,YAH1,yah1-ts,tsa428-37C,0.12359550561797752
YBR193C,MED8,med8-51,tsa741-37C,0.12355212355212356
YGL044C,RNA15,rna15-58,tsa652-37C,0.1226158038147139
YOR244W,ESA1,esa1-l254p,tsa560-37C,0.12142857142857143
YFL039C,ACT1,act1-101,tsa136-37C,0.12135922330097088
YDL029W,ARP2,arp2-14,tsa886-37C,0.12060301507537688
YDL028C,MPS1,mps1-417,tsa169-37C,0.12015503875968993
YDR182W,CDC1,cdc1-1,tsa31-37C,0.11971830985915492
YMR235C,RNA1,rna1-s116f,tsa172-37C,0.11842105263157894
YGL120C,PRP43,prp43-ts2,tsa607-37C,0.11688311688311688
YJL034W,KAR2,kar2-159,tsa210-37C,0.1148936170212766
YBR079C,RPG1,rpg1-1,tsa990-37C,0.11442786069651742
YML015C,TAF11,taf11-ts2,tsa645-37C,0.11382113821138211
YGL112C,TAF6,taf6-ts,tsa608-37C,0.11278195488721804
YBR193C,MED8,med8-39,tsa751-37C,0.1118421052631579
YBR234C,ARC40,arc40-5001,tsa1070-37C,0.11158798283261803
YGR274C,TAF1,taf1-1,tsa524-37C,0.11013215859030837
YLR298C,YHC1,yhc1-8,tsa844-37C,0.11004784688995216
YOR181W,LAS17,las17-14,tsa230-37C,0.109375
YPR178W,PRP4,prp4-ts,tsa819-37C,0.10594315245478036
YDL103C,QRI1,qri1-5001,tsa1093-37C,0.10515021459227468
YDR228C,PCF11,pcf11-2,tsa685-37C,0.10491071428571429
YER022W,SRB4,srb4-2,tsa519-37C,0.1031390134529148
YML130C,ERO1,ero1-1,tsa203-37C,0.10299003322259136
YBL076C,ILS1,ils1-1,tsa275-37C,0.10256410256410256
YHR036W,BRL1,brl1-2221,tsa1038-37C,0.1005586592178771
