ORF,Name,Allele,Strain ID
YGL234W,"ADE5,7","ade5,7",tsa468-37C
YGL234W,"ADE5,7","ade5,7",tsa536-37C
YGL234W,"ADE5,7","ade5,7",tsa579-37C
YGL234W,"ADE5,7","ade5,7",tsa820-37C
YGL237C,HAP2,,dma1756
YGR054W,,,dma1846
YGR092W,DBF2,,dma1850
YGR099W,TEL2,tel2-15,tsa938-37C
YGR101W,PCP1,,dma1868
YGR105W,VMA21,,dma1867
YGR157W,CHO2,,dma1899
YGR193C,PDX1,,dma1947
YGR246C,BRF1,brf1-w107r,tsa478-37C
YGR292W,MAL12,,dma5298
YHL007C,STE20,,dma2052
YHL033C,RPL8A,,dma2075
YHR005C,GPA1,,dma2081
YHR041C,SRB2,,dma2104
YHR160C,PEX18,,dma2220
YHR178W,STB5,,dma2213
YHR193C,EGD2,,dma2227
YHR198C,AIM18,,dma2224
YIL046W,MET30,met30-6,tsa948-37C
YIL046W,MET30,met30-9,tsa947-37C
YIL125W,KGD1,,dma5202
YIL126W,STH1,sth1-2,tsa507-37C
YIL128W,MET18,,dma2354
YJL071W,ARG2,,dma2492
YJL081C,ARP4,arp4-g161d,tsa618-37C
YJL204C,RCY1,,dma2604
YJR011C,,,dma2606
YJR053W,BFA1,,dma2650
YJR057W,CDC8,cdc8-1,tsa407-37C
YJR057W,CDC8,cdc8-2,tsa22-37C
YJR065C,ARP3,arp3-31,tsa894-37C
YJR065C,ARP3,arp3-g302y,tsa296-37C
YJR077C,MIR1,,dma2661
YJR084W,,,dma2655
YJR120W,,,dma2721
YJR139C,HOM6,,dma2730
YKL120W,OAC1,,dma2834
YKL139W,CTK1,ctk1-supp1,dma2867
YKL184W,SPE1,,dma2883
YKL211C,TRP3,,dma2912
YKL212W,SAC1,,dma2911
YKL214C,YRA2,,dma2909
YKL216W,URA1,,dma2907
YKR020W,VPS51,,dma2932
YKR043C,SHB17,,dma2958
YKR081C,RPF2,rpf2-5001,tsa1098-37C
YLL045C,RPL8B,,dma3050
YLL049W,LDB18,,dma3092
YLR058C,SHM2,,dma3151
YLR061W,RPL22A,,dma3149
YLR079W,SIC1,,dma3163
YLR131C,ACE2,,dma3228
YLR182W,SWI6,,dma3243
YLR184W,,,dma3264
YLR310C,CDC25,cdc25-1,tsa23-37C
YLR314C,CDC3,cdc3-1,tsa885-37C
YLR318W,EST2,,dma3371
YLR338W,OPI9,,dma3379
YLR418C,CDC73,,dma3477
YLR451W,LEU3,,dma3496
YML010W,SPT5,spt5-194,tsa833-37C
YML012C-A,,,dma3522
YML022W,APT1,,dma3537
YMR038C,CCS1,,dma3654
YMR058W,FET3,,dma3663
YMR060C,SAM37,,dma3662
YMR116C,ASC1,,dma3698
YMR165C,PAH1,,dma5330
YMR179W,SPT21,,dma3770
YMR198W,CIK1,,dma3800
YMR202W,ERG2,,dma3797
YMR224C,MRE11,,dma3806
YMR307W,GAS1,,dma3905
YNL006W,LST8,lst8-6,tsa466-37C
YNL013C,,,dma3929
YNL072W,RNH201,,dma3993
YNL080C,EOS1,eos1-supp1,dma3987
YNL082W,PMS1,,dma4008
YNL106C,INP52,,dma4013
YNL118C,DCP2,dcp2-7d,tsa754-37C
YNL197C,WHI3,,dma4073
YNL215W,IES2,,dma4082
YNL229C,URE2,,dma4096
YNL258C,DSL1,dsl1-dc30,tsa418-37C
YNL263C,YIF1,yif1-td,tsa16-37C
YNL267W,PIK1,pik1-139,tsa116-37C
YNR010W,CSE2,,dma4207
YNR043W,MVD1,mvd1-1296,tsa828-37C
YOL001W,PHO80,,dma4274
YOL004W,SIN3,,dma4294
YOL049W,GSH2,,dma4340
YOL052C,SPE2,,dma4338
YOR048C,RAT1,rat1-1,tsa914-37C
YOR074C,CDC21,cdc21-1,tsa927-37C
YOR080W,DIA2,,dma4493
YOR196C,LIP5,,dma4586
YOR202W,HIS3,his3,tsa1045-37C
YOR202W,HIS3,his3,tsa589-37C
YOR202W,HIS3,his3,tsa865-37C
YOR202W,HIS3,his3,tsa961-37C
YOR202W,HIS3,his3,tsa965-37C
YOR202W,HIS3,his3,tsa966-37C
YOR202W,HIS3,his3,tsa972-37C
YOR202W,HIS3,his3,tsa985-37C
YOR204W,DED1,ded1-f144c,tsa932-37C
YOR212W,STE4,,dma4627
YOR212W,STE4,ste4,tsa1022-37C
YOR212W,STE4,ste4,tsa127-37C
YOR212W,STE4,ste4,tsa631-37C
YOR212W,STE4,ste4,tsa80-37C
YOR212W,STE4,ste4,tsa843-37C
YOR221C,MCT1,,dma4621
YOR257W,CDC31,cdc31-1,tsa891-37C
YOR257W,CDC31,cdc31-2,tsa151-37C
YOR312C,RPL20B,,dma4693
YPL055C,LGE1,,dma4805
YPL069C,BTS1,,dma4817
YPL175W,SPT14,spt14-1-10c,tsa474-37C
YPL217C,BMS1,bms1-1,tsa678-37C
YPL226W,NEW1,,dma4968
YPR043W,RPL43A,,dma5043
YPR069C,SPE3,,dma5069
YPR074C,TKL1,,dma5065
YPR103W,PRE2,pre2-1-supp1,tsa915-37C
YPR103W,PRE2,pre2-127,tsa916-37C
YPR103W,PRE2,pre2-2,tsa917-37C
YPR141C,KAR3,,dma5133
