ORF,Name,Allele,Strain ID
YGR196C,FYV8,,dma1945
YHL007C,STE20,,dma2052
YHL033C,RPL8A,,dma2075
YHR005C,GPA1,,dma2081
YHR018C,ARG4,,dma2096
YHR041C,SRB2,,dma2104
YHR107C,CDC12,cdc12-td,tsa50-37C
YHR129C,ARP1,,dma2165
YHR162W,MPC2,,dma2218
YIL040W,APQ12,,dma2275
YIL090W,ICE2,,dma2332
YIL094C,LYS12,,dma5314
YIL107C,PFK26,,dma2343
YIL134W,FLX1,,dma2373
YIL135C,VHS2,,dma2372
YIR034C,LYS1,,dma2448
YJL204C,RCY1,,dma2604
YJR032W,CPR7,,dma2618
YJR057W,CDC8,cdc8-1,tsa407-37C
YJR057W,CDC8,cdc8-2,tsa22-37C
YJR073C,OPI3,,dma2664
YJR120W,,,dma2721
YKL029C,MAE1,,dma2750
YKL204W,EAP1,,dma2894
YKL213C,DOA1,,dma2910
YKR020W,VPS51,,dma2932
YKR099W,BAS1,,dma3018
YLL006W,MMM1,,dma3031
YLL043W,FPS1,,dma3052
YLL044W,,,dma3051
YLR045C,STU2,stu2-10,tsa549-37C
YLR058C,SHM2,,dma3151
YLR061W,RPL22A,,dma3149
YLR079W,SIC1,,dma3163
YLR182W,SWI6,,dma3243
YLR184W,,,dma3264
YLR239C,LIP2,,dma3296
YLR320W,MMS22,,dma3369
YLR337C,VRP1,,dma3380
YLR386W,VAC14,,dma3411
YLR442C,SIR3,,dma3481
YML066C,SMA2,,dma3587
YML069W,POB3,pob3-q308k,tsa847-37C
YMR001C,CDC5,cdc5-1,tsa879-37C
YMR038C,CCS1,,dma3654
YMR179W,SPT21,,dma3770
YMR198W,CIK1,,dma3800
YMR202W,ERG2,,dma3797
YMR224C,MRE11,,dma3806
YMR307W,GAS1,,dma3905
YNL004W,HRB1,,dma3934
YNL080C,EOS1,eos1-supp1,dma3987
YNL138W,SRV2,srv2-2,tsa800-37C
YNL162W,RPL42A,,dma4049
YNL198C,,,dma4072
YNL199C,GCR2,,dma4071
YNL236W,SIN4,,dma4113
YNL263C,YIF1,yif1-td,tsa16-37C
YNL267W,PIK1,pik1-104,tsa115-37C
YNL302C,RPS19B,,dma4176
YNR010W,CSE2,,dma4207
YOL001W,PHO80,,dma4274
YOL020W,TAT2,,dma4302
YOL041C,NOP12,,dma4312
YOL049W,GSH2,,dma4340
YOL052C,SPE2,,dma4338
YOL108C,INO4,,dma4387
YOR074C,CDC21,cdc21-1,tsa927-37C
YOR080W,DIA2,,dma4493
YOR128C,ADE2,,dma5352
YOR174W,MED4,med4-54,tsa953-37C
YOR181W,LAS17,las17-1,tsa912-37C
YOR196C,LIP5,,dma4586
YOR202W,HIS3,his3,tsa372-37C
YOR212W,STE4,ste4,tsa1022-37C
YOR212W,STE4,ste4,tsa80-37C
YOR257W,CDC31,cdc31-2,tsa151-37C
YOR257W,CDC31,cdc31-5,tsa152-37C
YOR293W,RPS10A,,dma4687
YOR329C,SCD5,scd5-pp1d2,tsa570-37C
YPL055C,LGE1,,dma4805
YPL069C,BTS1,,dma4817
YPL190C,NAB3,nab3-11,tsa861-37C
YPL213W,LEA1,,dma4955
YPL226W,NEW1,,dma4968
YPL255W,BBP1,bbp1-2,tsa864-37C
YPL262W,FUM1,,dma5014
YPR032W,SRO7,,dma5048
YPR069C,SPE3,,dma5069
YPR070W,MED1,,dma5068
YPR173C,VPS4,,dma5159
