ORF,Name,Allele,Strain ID
YKL204W,EAP1,,dma2894
YKL211C,TRP3,,dma2912
YKL216W,URA1,,dma2907
YKR099W,BAS1,,dma3018
YLR058C,SHM2,,dma3151
YLR071C,RGR1,rgr1-100,tsa908-37C
YLR192C,HCR1,,dma3257
YLR268W,SEC22,sec22-3,tsa121-37C
YLR318W,EST2,,dma3371
YLR321C,SFH1,sfh1-1,tsa952-37C
YLR420W,URA4,,dma3476
YML010W,SPT5,spt5-194,tsa833-37C
YMR049C,ERB1,erb1-5001,tsa1102-37C
YMR060C,SAM37,,dma3662
YMR224C,MRE11,,dma3806
YMR256C,COX7,,dma3875
YNL004W,HRB1,,dma3934
YNL061W,NOP2,nop2-10,tsa941-37C
YNL118C,DCP2,dcp2-7d,tsa754-37C
YNL197C,WHI3,,dma4073
YNL215W,IES2,,dma4082
YOL001W,PHO80,,dma4274
YOL004W,SIN3,,dma4294
YOL049W,GSH2,,dma4340
YOL052C,SPE2,,dma4338
YOL108C,INO4,,dma4387
YOL115W,PAP2,,dma4403
YOL123W,HRP1,hrp1-1,tsa960-37C
YOR026W,BUB3,,dma4443
YOR074C,CDC21,cdc21-1,tsa927-37C
YOR128C,ADE2,,dma5352
YOR174W,MED4,med4-6,tsa738-37C
YOR196C,LIP5,,dma4586
YOR202W,HIS3,his3,tsa1009-37C
YOR202W,HIS3,his3,tsa372-37C
YOR202W,HIS3,his3,tsa963-37C
YOR202W,HIS3,his3,tsa965-37C
YOR202W,HIS3,his3,tsa971-37C
YOR202W,HIS3,his3,tsa985-37C
YOR202W,HIS3,his3,tsa997-37C
YOR204W,DED1,ded1-f144c,tsa932-37C
YOR212W,STE4,,dma4627
YOR212W,STE4,ste4,tsa562-37C
YOR212W,STE4,ste4,tsa80-37C
YOR212W,STE4,ste4,tsa843-37C
YOR221C,MCT1,,dma4621
YOR329C,SCD5,scd5-pp1d2,tsa570-37C
YPL069C,BTS1,,dma4817
YPL124W,SPC29,spc29-20,tsa706-37C
YPL172C,COX10,,dma4919
YPL213W,LEA1,,dma4955
YPL226W,NEW1,,dma4968
YPL255W,BBP1,bbp1-2,tsa864-37C
YPR032W,SRO7,,dma5048
YPR033C,HTS1,hts1-1,tsa945-37C
YPR060C,ARO7,,dma5054
YPR103W,PRE2,pre2-75,tsa918-37C
YPR103W,PRE2,pre2-v214a,tsa921-37C
