ORF,Name,Allele,Strain ID
YDR398W,UTP5,utp5-5001,TSA1242-37C
YDR408C,ADE8,,dma1139
YDR426C,,,dma1172
YDR437W,GPI19,gpi19-2,TSA1014-37C
YDR455C,,,dma1179
YDR460W,TFB3,tfb3-ts,TSA951-37C
YDR514C,,,dma1234
YEL002C,WBP1,wbp1-1,TSA590-37C
YEL002C,WBP1,wbp1-2,TSA581-37C
YEL003W,GIM4,,dma1271
YEL034W,HYP2,hyp2-2,TSA750-37C
YEL034W,HYP2,hyp2-3,TSA737-37C
YEL042W,GDA1,,dma1290
YER052C,HOM3,,dma1350
YER055C,HIS1,,dma1347
YER111C,SWI4,,dma1394
YER125W,RSP5,rsp5-1,TSA182-37C
YER151C,UBP3,,dma1447
YER162C,RAD4,,dma1463
YFL009W,CDC4,cdc4-2,TSA415-37C
YFL010C,WWM1,,dma5285
YFL022C,FRS2,frs2-5001,TSA1083-37C
YFL023W,BUD27,bud27-supp1,dma1478
YFL039C,ACT1,act1-111,TSA214-37C
YFL039C,ACT1,act1-119,TSA215-37C
YFL039C,ACT1,act1-120,TSA74-37C
YFL039C,ACT1,act1-124,TSA72-37C
YFL039C,ACT1,act1-125,TSA140-37C
YFL039C,ACT1,act1-129,TSA223-37C
YFL039C,ACT1,act1-133,TSA141-37C
YFL039C,ACT1,act1-159,TSA910-37C
YFL039C,ACT1,act1-2,TSA789-37C
YFR005C,SAD1,sad1-1,TSA700-37C
YFR010W,UBP6,,dma1515
YFR025C,HIS2,,dma1568
YFR031C,SMC2,smc2-8,TSA522-37C
YFR051C,RET2,ret2-1,TSA823-37C
YGL022W,STT3,stt3-1,TSA790-37C
YGL022W,STT3,stt3-2,TSA551-37C
YGL024W,,,dma1619
YGL048C,RPT6,rpt6-25,TSA186-37C
YGL055W,OLE1,ole1-m2,TSA506-37C
YGL065C,ALG2,alg2-1,TSA461-37C
YGL091C,NBP35,nbp35-5001,TSA1120-37C
YGL097W,SRM1,srm1-g282s,TSA261-37C
YGL116W,CDC20,cdc20-1,TSA898-37C
YGL130W,CEG1,ceg1-c354,TSA124-37C
YGL154C,LYS5,,dma1700
YGL173C,XRN1,,dma1708
YGL214W,,,dma1730
YGR002C,SWC4,swc4-4,TSA895-37C
YGR009C,SEC9,sec9-4,TSA57-37C
YGR054W,,,dma1846
YGR061C,ADE6,,dma5192
YGR188C,BUB1,bub1-supp1,dma1950
YGR208W,SER2,,dma1958
YGR216C,GPI1,gpi1-1,TSA548-37C
YGR218W,CRM1,crm1-1,TSA460-37C
YGR246C,BRF1,brf1-w107r,TSA478-37C
YHR025W,THR1,,dma2092
YHR052W,CIC1,cic1-2,TSA713-37C
YHR067W,HTD2,,dma2135
YHR107C,CDC12,cdc12-td,TSA50-37C
YHR122W,CIA2,cia2-5001,TSA1208-37C
YHR178W,STB5,,DMA2213-37C
YHR178W,STB5,,dma2213
YHR191C,CTF8,ctf8-162,TSA322-37C
YHR191C,CTF8,ctf8-9,TSA323-37C
YIL008W,URM1,,DMA2255-37C
YIL040W,APQ12,,DMA2275-37C
YIL090W,ICE2,,dma2332
YIL094C,LYS12,,dma5314
YIL106W,MOB1,mob1-5001,TSA1258-37C
YIL116W,HIS5,,dma2360
YIL118W,RHO3,rho3-1,TSA654-37C
YIL128W,MET18,,dma2354
YIL134W,FLX1,,dma2373
YIL147C,SLN1,sln1-ts4,TSA1001-37C
YIR012W,SQT1,sqt1-201,TSA617-37C
YJL019W,MPS3,mps3-1,TSA437-37C
YJL019W,MPS3,mps3-7,TSA929-37C
YJL046W,AIM22,,DMA2464-37C
YJL081C,ARP4,arp4-g161d,TSA618-37C
YJL101C,GSH1,,dma2500
YJL115W,ASF1,,DMA2518-37C
YJL125C,GCD14,gcd14-4,TSA620-37C
YJL157C,FAR1,,dma2555
YJR017C,ESS1,ess1-h164r,TSA698-37C
