ORF,Name,Allele,Strain ID
YER090W,TRP2,trp2,tsa863-37C
YER119C-A,,,dma1409
YER125W,RSP5,rsp5-1,tsa182-37C
YER147C,SCC4,scc4-4,tsa69-37C
YER148W,SPT15,spt15-i143n,tsa812-37C
YER151C,UBP3,,dma1447
YER153C,PET122,,dma1445
YER157W,COG3,cog3-1,tsa41-37C
YER162C,RAD4,,dma1463
YER166W,DNF1,,dma1460
YER168C,CCA1,cca1-1,tsa958-37C
YER178W,PDA1,,dma1475
YFL006W,,,dma1487
YFL007W,BLM10,,dma5286
YFL009W,CDC4,cdc4-1,tsa878-37C
YFL017C,GNA1,gna1-ts,tsa1048-37C
YFL022C,FRS2,frs2-5001,tsa1083-37C
YFL034C-B,MOB2,mob2-11,tsa609-37C
YFL034C-B,MOB2,mob2-28,tsa936-37C
YFL034C-B,MOB2,mob2-38,tsa788-37C
YFL034C-B,MOB2,mob2-8,tsa616-37C
YFL039C,ACT1,act1-111,tsa214-37C
YFL039C,ACT1,act1-120,tsa74-37C
YFL039C,ACT1,act1-121,tsa911-37C
YFL039C,ACT1,act1-124,tsa72-37C
YFL039C,ACT1,act1-125,tsa140-37C
YFL039C,ACT1,act1-159,tsa910-37C
YFL039C,ACT1,act1-2,tsa789-37C
YFL039C,ACT1,act1-3,tsa137-37C
YFR028C,CDC14,cdc14-8,tsa926-37C
YFR052W,RPN12,rpn12-1,tsa405-37C
YGL009C,LEU1,,dma1607
YGL022W,STT3,stt3-1,tsa790-37C
YGL022W,STT3,stt3-2,tsa551-37C
YGL043W,DST1,,dma1631
YGL048C,RPT6,rpt6-1-supp1,tsa906-37C
YGL048C,RPT6,rpt6-20,tsa907-37C
YGL048C,RPT6,rpt6-25,tsa186-37C
YGL055W,OLE1,ole1-m2,tsa506-37C
YGL065C,ALG2,alg2-1,tsa461-37C
YGL097W,SRM1,srm1-ts,tsa955-37C
YGL110C,CUE3,,dma1680
YGL115W,SNF4,,dma1678
YGL116W,CDC20,cdc20-1,tsa898-37C
YGL127C,SOH1,,dma1671
YGL130W,CEG1,ceg1-3,tsa94-37C
YGL154C,LYS5,,dma1700
YGL154C,LYS5,lys5,tsa359-37C
YGL154C,LYS5,lys5,tsa520-37C
YGL154C,LYS5,lys5,tsa65-37C
YGL154C,LYS5,lys5,tsa651-37C
YGL154C,LYS5,lys5,tsa709-37C
YGL154C,LYS5,lys5,tsa815-37C
YGL154C,LYS5,lys5,tsa979-37C
YGL168W,HUR1,,dma1710
YGL218W,,,dma1749
YGL234W,"ADE5,7","ade5,7",tsa1054-37C
YGL234W,"ADE5,7","ade5,7",tsa178-37C
YGL234W,"ADE5,7","ade5,7",tsa468-37C
YGL234W,"ADE5,7","ade5,7",tsa536-37C
YGL234W,"ADE5,7","ade5,7",tsa579-37C
YGL234W,"ADE5,7","ade5,7",tsa820-37C
YGL244W,RTF1,,dma1775
YGR054W,,,dma1846
YGR061C,ADE6,,dma5192
YGR068C,ART5,,dma5190
YGR105W,VMA21,,dma1867
YGR116W,SPT6,spt6-14,tsa834-37C
YGR122W,,,dma5189
YGR157W,CHO2,,dma1899
YGR158C,MTR3,mtr3-ts,tsa614-37C
YGR246C,BRF1,brf1-w107r,tsa478-37C
YGR270W,YTA7,,dma2009
YHL007C,STE20,,dma2052
YHR018C,ARG4,,dma2096
YHR041C,SRB2,,dma2104
YHR058C,MED6,med6-ts,tsa1053-37C
YHR067W,HTD2,,dma2135
YHR162W,MPC2,,dma2218
YHR164C,DNA2,dna2-2,tsa352-37C
YHR191C,CTF8,ctf8-162,tsa322-37C
YHR191C,CTF8,ctf8-9,tsa323-37C
YIL020C,HIS6,,dma2267
YIL022W,TIM44,tim44-8,tsa956-37C
YIL046W,MET30,met30-9,tsa947-37C
YIL062C,ARC15,arc15-10,tsa888-37C
YIL072W,HOP1,,dma2320
YIL090W,ICE2,,dma2332
YIL094C,LYS12,,dma5314
YIL112W,HOS4,,dma2363
YIL126W,STH1,sth1-2,tsa507-37C
YIL128W,MET18,,dma2354
YIL134W,FLX1,,dma2373
YIR006C,PAN1,pan1-4,tsa353-37C
YIR034C,LYS1,,dma2448
YJL019W,MPS3,mps3-1,tsa437-37C
YJL046W,AIM22,,dma2464
YJL071W,ARG2,,dma2492
YJL097W,PHS1,phs1-1,tsa896-37C
YJL120W,,,dma5179
YJL121C,RPE1,,dma2516
YJL177W,RPL17B,,dma5188
YJL188C,BUD19,,dma2578
YJR017C,ESS1,ess1-h164r,tsa698-37C
YJR053W,BFA1,,dma2650
YJR057W,CDC8,cdc8-2,tsa22-37C
YJR060W,CBF1,,dma2646
YJR065C,ARP3,arp3-d11a,tsa341-37C
YJR065C,ARP3,arp3-g15c,tsa298-37C
YJR065C,ARP3,arp3-g302y,tsa296-37C
YJR065C,ARP3,arp3-h161a,tsa297-37C
YJR068W,RFC2,rfc2-1,tsa342-37C
YJR073C,OPI3,,dma2664
YJR076C,CDC11,cdc11-2,tsa82-37C
YJR084W,,,dma2655
YJR093C,FIP1,fip1-433,tsa827-37C
YJR120W,,,dma2721
YKL018W,SWD2,swd2-1,tsa893-37C
YKL018W,SWD2,swd2-ts1,tsa173-37C
YKL022C,CDC16,cdc16-1,tsa883-37C
YKL024C,URA6,ura6-4,tsa1031-37C
YKL024C,URA6,ura6-5,tsa1032-37C
YKL041W,VPS24,,dma2763
YKL048C,ELM1,,dma2781
YKL055C,OAR1,,dma2776
YKL087C,CYT2,,dma5201
YKL112W,ABF1,abf1-103,tsa335-37C
YKL113C,RAD27,,dma2839
YKL139W,CTK1,ctk1-supp1,dma2867
YKL145W,RPT1,rpt1-1,tsa190-37C
YKL189W,HYM1,hym1-15,tsa892-37C
YKL203C,TOR2,tor2-29,tsa838-37C
YKL204W,EAP1,,dma2894
YKL210W,UBA1,uba1-1,tsa191-37C
YKL211C,TRP3,,dma2912
YKL216W,URA1,,dma2907
YKR001C,VPS1,,dma2924
YKR037C,SPC34,spc34-7,tsa857-37C
YKR099W,BAS1,,dma3018
YLL029W,FRA1,,dma3059
YLL031C,GPI13,gpi13-3-supp1,tsa196-37C
YLL031C,GPI13,gpi13-4,tsa959-37C
YLL031C,GPI13,gpi13-5,tsa197-37C
YLL043W,FPS1,,dma3052
YLL050C,COF1,cof1-8,tsa248-37C
YLR045C,STU2,stu2-10,tsa549-37C
YLR053C,,,dma3133
YLR058C,SHM2,,dma3151
YLR061W,RPL22A,,dma3149
YLR071C,RGR1,rgr1-100,tsa908-37C
YLR078C,BOS1,bos1-1,tsa199-37C
YLR182W,SWI6,,dma3243
YLR184W,,,dma3264
YLR195C,NMT1,nmt1-181,tsa690-37C
YLR212C,TUB4,tub4-d,tsa718-37C
YLR268W,SEC22,sec22-3,tsa121-37C
YLR298C,YHC1,yhc1-3,tsa840-37C
YLR310C,CDC25,cdc25-1,tsa23-37C
YLR314C,CDC3,cdc3-1,tsa885-37C
YLR321C,SFH1,sfh1-1,tsa952-37C
YLR337C,VRP1,,dma3380
YLR378C,SEC61,sec61-2,tsa213-37C
YLR418C,CDC73,,dma3477
YLR420W,URA4,,dma3476
YLR430W,SEN1,sen1-1,tsa1024-37C
YLR459W,GAB1,gab1-1,tsa200-37C
YLR459W,GAB1,gab1-2,tsa201-37C
YLR459W,GAB1,gab1-3,tsa202-37C
YML010W,SPT5,spt5-194,tsa833-37C
YML023C,NSE5,nse5-ts4,tsa1007-37C
YML069W,POB3,pob3-l78r,tsa846-37C
YML069W,POB3,pob3-q308k,tsa847-37C
YML106W,URA5,,dma3610
YMR001C,CDC5,cdc5-1,tsa879-37C
YMR031W-A,,,dma3659
YMR038C,CCS1,,dma3654
YMR058W,FET3,,dma3663
YMR060C,SAM37,,dma3662
YMR201C,RAD14,,dma3798
YMR205C,PFK2,pfk2-supp1,dma3795
YMR224C,MRE11,,dma3806
YMR227C,TAF7,taf7-ts1,tsa638-37C
YMR298W,LIP1,lip1-5001,tsa1059-37C
YMR312W,ELP6,,dma3902
YNL003C,PET8,,dma3935
YNL061W,NOP2,nop2-10,tsa941-37C
YNL079C,TPM1,tpm1-supp1,dma3988
YNL080C,EOS1,eos1-supp1,dma3987
