ORF,Name,Allele,Strain ID
YOL123W,HRP1,hrp1-4,tsa858-37C
YOL123W,HRP1,hrp1-7,tsa943-37C
YOR074C,CDC21,cdc21-1,tsa927-37C
YOR080W,DIA2,,dma4493
YOR083W,WHI5,,dma4490
YOR174W,MED4,med4-6,tsa738-37C
YOR181W,LAS17,las17-1,tsa912-37C
YOR184W,SER1,,dma4596
YOR202W,HIS3,his3,tsa1021-37C
YOR202W,HIS3,his3,tsa1045-37C
YOR202W,HIS3,his3,tsa180-37C
YOR202W,HIS3,his3,tsa384-37C
YOR202W,HIS3,his3,tsa865-37C
YOR202W,HIS3,his3,tsa966-37C
YOR202W,HIS3,his3,tsa968-37C
YOR204W,DED1,ded1-f144c,tsa932-37C
YOR212W,STE4,ste4,tsa1022-37C
YOR212W,STE4,ste4,tsa703-37C
YOR212W,STE4,ste4,tsa843-37C
YOR236W,DFR1,dfr1-td,tsa884-37C
YOR257W,CDC31,cdc31-1,tsa891-37C
YOR257W,CDC31,cdc31-2,tsa151-37C
YOR312C,RPL20B,,dma4693
YPL069C,BTS1,,dma4817
YPL175W,SPT14,spt14-1-10c,tsa474-37C
YPL190C,NAB3,nab3-11,tsa861-37C
YPL226W,NEW1,,dma4968
YPL255W,BBP1,bbp1-2,tsa864-37C
YPR060C,ARO7,,dma5054
YPR103W,PRE2,pre2-1-supp1,tsa915-37C
YPR103W,PRE2,pre2-v214a,tsa921-37C
