ORF,Name,Allele,Strain ID
YGL234W,"ADE5,7","ade5,7",tsa1054-37C
YGL234W,"ADE5,7","ade5,7",tsa178-37C
YGL234W,"ADE5,7","ade5,7",tsa310-37C
YGL234W,"ADE5,7","ade5,7",tsa39-37C
YGL234W,"ADE5,7","ade5,7",tsa468-37C
YGL234W,"ADE5,7","ade5,7",tsa536-37C
YGL234W,"ADE5,7","ade5,7",tsa579-37C
YGL234W,"ADE5,7","ade5,7",tsa820-37C
YGR157W,CHO2,,dma1899
YGR193C,PDX1,,dma1947
YGR246C,BRF1,brf1-w107r,tsa478-37C
YHR018C,ARG4,,dma2096
YHR041C,SRB2,,dma2104
YHR067W,HTD2,,dma2135
YHR162W,MPC2,,dma2218
YIL011W,TIR3,,dma2252
YIL046W,MET30,met30-6,tsa948-37C
YIL094C,LYS12,,dma5314
YIL107C,PFK26,,dma2343
YIL128W,MET18,,dma2354
YIR023W,DAL81,,dma2435
YIR034C,LYS1,,dma2448
YJL019W,MPS3,mps3-1,tsa437-37C
YJL046W,AIM22,,dma2464
YJL081C,ARP4,arp4-g161d,tsa618-37C
YJL088W,ARG3,,dma2486
YJL097W,PHS1,phs1-1,tsa896-37C
YJR057W,CDC8,cdc8-1,tsa407-37C
YJR057W,CDC8,cdc8-2,tsa22-37C
YJR060W,CBF1,,dma2646
YJR066W,TOR1,,dma5319
YJR076C,CDC11,cdc11-4,tsa126-37C
YJR076C,CDC11,cdc11-5,tsa84-37C
YJR080C,AIM24,,dma2658
YJR084W,,,dma2655
YJR139C,HOM6,,dma2730
YKL022C,CDC16,cdc16-1,tsa883-37C
YKL048C,ELM1,,dma2781
YKL055C,OAR1,,dma2776
YKL139W,CTK1,ctk1-supp1,dma2867
YKL184W,SPE1,,dma2883
YKL204W,EAP1,,dma2894
YKL211C,TRP3,,dma2912
YKL216W,URA1,,dma2907
YKR099W,BAS1,,dma3018
YLL023C,POM33,,dma3041
YLL031C,GPI13,gpi13-4,tsa959-37C
YLL044W,,,dma3051
YLL045C,RPL8B,,dma3050
YLR045C,STU2,stu2-10,tsa549-37C
YLR079W,SIC1,,dma3163
YLR104W,LCL2,,dma3202
YLR182W,SWI6,,dma3243
YLR212C,TUB4,tub4-y445d,tsa717-37C
YLR268W,SEC22,sec22-3,tsa121-37C
YLR298C,YHC1,yhc1-3,tsa840-37C
YLR298C,YHC1,yhc1-7,tsa647-37C
YLR314C,CDC3,cdc3-1,tsa885-37C
YLR318W,EST2,,dma3371
YLR357W,RSC2,,dma3387
YLR362W,STE11,,dma3407
YLR420W,URA4,,dma3476
YLR448W,RPL6B,,dma3499
YLR459W,GAB1,gab1-1,tsa200-37C
YML022W,APT1,,dma3537
YML066C,SMA2,,dma3587
YMR038C,CCS1,,dma3654
YMR058W,FET3,,dma3663
YMR197C,VTI1,vti1-11-supp1,tsa635-37C
YMR224C,MRE11,,dma3806
YMR233W,TRI1,,dma3824
YMR256C,COX7,,dma3875
YMR308C,PSE1,pse1-34,tsa682-37C
YNL004W,HRB1,,dma3934
YNL013C,,,dma3929
YNL081C,SWS2,sws2-supp2,dma3986
YNL102W,POL1,pol1-17,tsa345-37C
YNL106C,INP52,,dma4013
YNL118C,DCP2,dcp2-7d,tsa754-37C
YNL138W,SRV2,srv2-2,tsa800-37C
YNL170W,,,dma4065
YNL236W,SIN4,,dma4113
YNL263C,YIF1,yif1-td,tsa16-37C
YNL267W,PIK1,pik1-139,tsa116-37C
YNR050C,LYS9,,dma4249
YOL001W,PHO80,,dma4274
